"Antiviral","Hospital","ICU","Mask","Vac0_19","Vac20_59","Vac60_69","Vac_70above"
0.774161095255352,0.0107370643903957,0.000394078753826375,0.613298075145576,0.593014666486997,0.723419514561538,0.571858747941442,0.890398515215516
0.836428493611817,0.0107905438370818,0.000258658854573232,0.338320914241485,0.274503412086051,0.938291079034097,0.463535030824132,0.914110804194771
0.728120034821811,0.00993928241007769,0.000152079821654388,0.143587528651115,0.628560206904076,0.777766565014608,0.824019694020972,0.939860443274118
0.737451905842398,0.00805188363904485,0.000319036108363401,0.723111342065968,0.362318631231319,0.335649645563681,0.565358221712522,0.820127255628072
0.766049598407403,0.0101412797271896,0.000174284695485723,0.430739385925699,0.837001637411304,0.587789445410017,0.435074421002064,0.902013669956103
0.788537875696584,0.00624335042528669,0.000274434917527686,0.56962498547975,0.680113168393727,0.709027849442791,0.285711278049275,0.83670795411747
0.67643296486309,0.0098327876021457,0.00022337228222811,0.669317880088929,0.545866257066373,0.409521355489269,0.368678927808069,0.815490032988414
0.824136066071156,0.012676780593472,0.000184307996813294,0.292117029451765,0.173379690009169,0.712455889263656,0.633126611530315,0.895552949387953
0.884170115659703,0.0077987805393177,0.000376342450207179,0.0797880642022938,0.692642445736565,0.476313214679249,0.509959654519334,0.951878658377379
0.955418539937958,0.00848497582672838,0.000299735793863479,0.489414344013203,0.285751410739031,0.257700963930693,0.694917815171648,0.795735711207986
0.673312516846356,0.00654985864694701,0.000121935320107298,0.367321624024771,0.469906118274666,0.164446102867369,0.190633906451985,0.876196929061413
0.898563043597399,0.00978081677198638,0.000427727731604531,0.544103694704827,0.340815581029747,0.690294515935238,0.875682202270255,0.882090277853981
0.724509071647646,0.0095785255150806,0.000169565347538723,0.0937206845893525,0.402016981209163,0.488605740135536,0.339226728754584,0.81965353565067
0.629734782265946,0.0121733614104934,0.000336479790816368,0.680326842770446,0.213423738011625,0.281262910214718,0.679253851620015,0.89724412947204
0.805967126441766,0.0104295044510981,0.000384595005672753,0.827691672171932,0.0709724755445495,0.737369886469096,0.374510763427243,0.860461010231264
0.870235508719839,0.00644072458662438,0.000188118803036232,0.422103460831568,0.379034593217075,0.562041734566446,0.597103330036625,0.95881736093238
0.780810617721512,0.0111214101560788,0.000209399702680699,0.590253744658548,0.502430200541858,0.838883407320827,0.178451375400182,0.872529517829232
0.801686279280994,0.0115527738164961,0.000249301221191648,0.742453471522313,0.741314084324986,0.651858408821281,0.606332334314939,0.848726755319163
0.885969319572691,0.01300955421719,0.000324282865974616,0.450810977807268,0.31795865038177,0.0460736852162518,0.586315687641036,0.862574091996066
0.942436128348492,0.0112192769641366,0.000127349742554829,0.914812082354911,0.603262023283169,0.249816223026719,0.401829251097515,0.839182581957616
0.84257239107314,0.00831980679538188,0.000273712431569226,0.479919901301619,0.765465290935244,0.277866103884298,0.79488291035872,0.78757645918522
0.617544619348734,0.00815832263773641,0.000252639993805187,0.44949073880678,0.571224601776339,0.590197414287832,0.32659343249863,0.937307457275875
0.760250477047774,0.01213467071509,0.000103600657268408,0.301583436999936,0.884064625415485,0.208399101020768,0.257187898617703,0.919033879415132
0.715170035295233,0.0105824271569797,0.000402767187478715,0.466828806884587,0.652907434131484,0.264839517145883,0.546446864565369,0.884428227566928
0.78687048615536,0.00552193430711297,0.000232304743372973,0.238888067521621,0.421051720492542,0.51223430887796,0.617736586646643,0.831755483049713
0.88103615989638,0.00688554138607327,0.000366681461217664,0.202257663705386,0.518845402079169,0.888245773520321,0.736308164466172,0.923754450288974
0.966023689892881,0.0129514830460142,0.000125932309333943,0.603870829474181,0.107383396055084,0.540573965301737,0.477228198156226,0.933902509762347
0.668108330066698,0.0100888511796464,0.000235690004009511,0.329599746535532,0.355297882519662,0.125315201461781,0.684219262811821,0.806377183187567
0.947572647631846,0.0102769088707366,0.000311018442156532,0.373947886857204,0.638014425609726,0.106211121603847,0.244292118840385,0.899314199485071
