"Antiviral","Hospital","ICU","Mask","Vac0_19","Vac20_59","Vac60_69","Vac_70above"
0.466101880036294,0.607897615251131,0.783390163581353,0.613298075145576,0.593014666486997,0.723419514561538,0.571858747941442,0.543327146731317
0.613306131470017,0.613622372881509,0.4419928546343,0.338320914241485,0.274503412086051,0.938291079034097,0.463535030824132,0.642128350811545
0.357257765536197,0.522498293414246,0.173304166861344,0.143587528651115,0.628560206904076,0.777766565014608,0.824019694020972,0.749418513642158
0.379318926341366,0.320459918195847,0.594205580232665,0.723111342065968,0.362318631231319,0.335649645563681,0.565358221712522,0.250530231783632
0.446925764556509,0.544121286061127,0.229283267520368,0.430739385925699,0.837001637411304,0.587789445410017,0.435074421002064,0.591723624817096
0.500089540653862,0.126863780673593,0.481764745383989,0.56962498547975,0.680113168393727,0.709027849442791,0.285711278049275,0.319616475489456
0.235066110787448,0.511098456615582,0.353034430451226,0.669317880088929,0.545866257066373,0.409521355489269,0.368678927808069,0.231208470785059
0.584246019080747,0.815536359150428,0.254552287205588,0.292117029451765,0.173379690009169,0.712455889263656,0.633126611530315,0.564803955783136
0.72617048619315,0.293366259019822,0.738676451935898,0.0797880642022938,0.692642445736565,0.476313214679249,0.509959654519334,0.799494409905747
0.8946064773947,0.366820678445511,0.545548953928519,0.489414344013203,0.285751410739031,0.257700963930693,0.694917815171648,0.148898796699941
0.22768916512141,0.15967424131697,0.0973090452840552,0.367321624024771,0.469906118274666,0.164446102867369,0.190633906451985,0.48415387108922
0.760196320561226,0.505535190259106,0.868220166598912,0.544103694704827,0.340815581029747,0.690294515935238,0.875682202270255,0.508709491058253
0.348721209568903,0.483880732550751,0.217385660905857,0.0937206845893525,0.402016981209163,0.488605740135536,0.339226728754584,0.248556398544461
0.124668515995145,0.761647379596252,0.638181585830171,0.680326842770446,0.213423738011625,0.281262910214718,0.679253851620015,0.571850539466832
0.541293443124741,0.574974572504871,0.759481372360606,0.827691672171932,0.0709724755445495,0.737369886469096,0.374510763427243,0.418587542630266
0.693228153001983,0.147991883265786,0.264159435022157,0.422103460831568,0.379034593217075,0.562041734566446,0.597103330036625,0.828405670551583
0.48182179130381,0.649040268945973,0.317809171217959,0.590253744658548,0.502430200541858,0.838883407320827,0.178451375400182,0.468872990955133
0.531173237070907,0.69521599736996,0.4184020022396,0.742453471522313,0.741314084324986,0.651858408821281,0.606332334314939,0.369694813829847
0.730423923339695,0.851158424441237,0.60743280118797,0.450810977807268,0.31795865038177,0.0460736852162518,0.586315687641036,0.427392049983609
